Country Name,Indicator Name,2018,2019,2020,2021,2022
Ghana,GDP (current US$),67259353966,68352629246,70008243860,79514204730,73919003210
Greece,GDP (current US$),2.13299E+11,2.07306E+11,1.91363E+11,2.18304E+11,2.18881E+11
Greenland,GDP (current US$),3055782146,2997309972,3089625554,3293578468,3152334772
Grenada,GDP (current US$),1166514815,1213485185,1043411111,1122800000,1231732104
Guatemala,GDP (current US$),73328365862,77172317259,77719464221,86455519687,95641441235
Guinea,GDP (current US$),11857030367,13442861496,14088693743,17069115738,19910452542
Guinea-Bissau,GDP (current US$),1554133594,1588767976,1683619352,1878659687,1839048748
Guyana,GDP (current US$),4787636998,5173760192,5471256595,8041362110,14718388489
Honduras,GDP (current US$),24067750760,24882225742,23352232484,28144331507,31426041807
"Hong Kong, China",GDP (current US$),3.61731E+11,3.63075E+11,3.44943E+11,3.68954E+11,3.5868E+11
Hungary,GDP (current US$),1.61185E+11,1.64937E+11,1.58468E+11,1.83283E+11,1.77537E+11
Iceland,GDP (current US$),26260850582,24681343649,21629953194,25770339317,28696453180
India,GDP (current US$),2.70293E+12,2.83561E+12,2.67485E+12,3.16727E+12,3.34611E+12
Indonesia,GDP (current US$),1.04227E+12,1.1191E+12,1.05905E+12,1.18651E+12,1.3191E+12
"Iran, Islamic Rep.",GDP (current US$),3.9888E+11,3.33519E+11,2.62186E+11,3.83436E+11,3.94363E+11
Iraq,GDP (current US$),2.27367E+11,2.33636E+11,1.80899E+11,2.09692E+11,2.87372E+11
Ireland,GDP (current US$),3.95461E+11,4.07125E+11,4.36556E+11,5.31307E+11,5.4857E+11
Israel,GDP (current US$),3.76299E+11,4.00645E+11,4.10768E+11,4.89852E+11,5.25181E+11
Italy,GDP (current US$),2.09944E+12,2.01961E+12,1.90748E+12,2.17921E+12,2.10407E+12
Jamaica,GDP (current US$),15730792876,15830766531,13812421836,14657586159,17097760687
Japan,GDP (current US$),5.04088E+12,5.11799E+12,5.05407E+12,5.03915E+12,4.26246E+12
Jordan,GDP (current US$),43370860704,44503006338,43700383099,46296100141,48764963380
Kazakhstan,GDP (current US$),1.7934E+11,1.81667E+11,1.71082E+11,1.97112E+11,2.25496E+11
Kenya,GDP (current US$),92202979985,1.00378E+11,1.00658E+11,1.09704E+11,1.14449E+11
Kiribati,GDP (current US$),233514717.4,216985388.3,220897998.7,285259894,270040457
"Korea, Rep.",GDP (current US$),1.72537E+12,1.65142E+12,1.64431E+12,1.81843E+12,1.67392E+12
Kuwait,GDP (current US$),1.38646E+11,1.40856E+11,1.11045E+11,1.48351E+11,1.83502E+11
