Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,GDP (current US$),26579005558,28781715189,31598340778,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69476001239,71795736172,79611644975,91636997371,1.02475E+11,1.15276E+11,1.28607E+11,1.33311E+11,1.49999E+11,1.72887E+11,1.95147E+11,2.65225E+11,2.93732E+11,3.21363E+11,3.51232E+11,3.73979E+11,4.16272E+11,4.60132E+11
Barbados,GDP (current US$),1812757918,2006165167,2012131457,2020583702,1957000000,2063342117,2151344901,2216974096,2363645404,2498384130,2817083478,2951822205,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217323400,4675767950,4790410400,4466809600,5191188500,5342183800,5271257500,5361158350,5365976700,5288057750,5330761500,5517340450,5629916200,5788288000,5168344450,5275242050,6257303500
Belarus,GDP (current US$),,,17389558233,18404907975,16939790094,16275073527,14931435232,13972683274,14756846154,14130585516,15221352699,12138243081,12736780455,12354820144,14594900945,17825444724,23141566293,30210091837,36961894281,45275711996,60752106347,50873167326,57231904543,61762382328,65685890439,75527558966,78813069121,56454769845,47723545321,54725405751,60031026576,64410170653,61371673345,69673747132,73775179925
Belgium,GDP (current US$),1.62299E+11,1.64221E+11,2.05332E+11,2.10511E+11,2.34782E+11,2.24722E+11,2.44884E+11,2.88026E+11,2.79201E+11,2.52708E+11,2.58528E+11,2.58246E+11,2.36792E+11,2.36746E+11,2.58384E+11,3.18083E+11,3.69215E+11,3.85715E+11,4.0826E+11,4.70922E+11,5.17328E+11,4.85015E+11,4.81557E+11,5.27197E+11,4.98414E+11,5.24097E+11,5.37987E+11,4.61045E+11,4.74272E+11,5.00909E+11,5.42639E+11,5.36726E+11,5.29694E+11,5.98522E+11,5.93615E+11
Belize,GDP (current US$),421450000,491100000,547150000,597100000,696250000,752850000,772300000,819050000,850850000,873400000,929500000,1000250000,1138900000,1172800000,1244650000,1308900000,1400850000,1474950000,1591150000,1707100000,1738900000,1688500000,1745700000,1827050000,1909400000,2032750000,2138250000,2193050000,2240200000,2266300000,2293250000,2388300000,2042850000,2420550000,2846700000
Benin,GDP (current US$),1620246084,1502294416,1959965330,1986437797,1695315306,2274558083,1598075944,2169627138,2361116449,2268301647,2455092686,3677393999,3519991440,3666222635,4194342686,5349258094,6190270380,6567654954,7034111315,8169048383,9787734526,9738626517,9535345016,10693321364,11141358116,12517845124,13284527847,11388160997,11821065853,12701655837,14262408090,14391686313,15686741894,17687623535,17425405084
Bermuda,GDP (current US$),1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887364000,7290037000,7874381000
Bhutan,GDP (current US$),272298066.6,264798626.2,287765007.1,240294286,240233531.2,225973692.8,258954708.1,290490983.8,303408345.6,352229076.7,363458380.9,399311199.5,460733418.4,496110225.7,559345263.7,651935430.3,735348490.4,860391000.2,942879878.5,1255767964,1317517835,1331343798,1708880730,1977728659,1973387228,1943696952,2089079571,2187815803,2357504761,2591358009,2583335722,2735683570,2457604334,2768802960,2898227744
Bolivia,GDP (current US$),4597611710,4715973437,4867582598,5343262457,5643868749,5734699489,5981222859,6715161732,7396949126,7925736822,8497494652,8285064435,8397855485,8141516928,7905485146,8082399640,8773451752,9549122905,11451844902,13120108008,16674276286,17339992194,19649723722,23963164697,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40406111693,44008282880
Bosnia and Herzegovina,GDP (current US$),,,7753478261,6122959184,4735044707,3630668950,1255802469,1866572954,2786045322,3671909673,4116774301,4686256363,5567772769,5800615466,6728220887,8498894359,10156541538,11222796337,12864841906,15778734264,19112796623,17613949091,17176315804,18644233537,17226735996,18179108531,18558733564,16404348871,17116926328,18326373366,20484053869,20482608755,20226036564,23672712242,24534663636
