Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,2018,2019,2020,2021,2022
Fiji, World,Import,  All Products,AHS Weighted Average (%),16.33561379,23.96542568,16.6242623,8.350333248,
Finland, World,Import,  All Products,AHS Weighted Average (%),1.454520022,1.658585044,1.711407617,1.391697755,1.286729034
France, World,Import,  All Products,AHS Weighted Average (%),1.978336507,2.10990911,1.841371442,1.565868843,1.203268643
French Polynesia, World,Import,  All Products,AHS Weighted Average (%),5.052923999,4.621491469,4.827169805,5.75087676,
Gabon, World,Import,  All Products,AHS Weighted Average (%),,14.49760321,,,16.57608057
"Gambia, The", World,Import,  All Products,AHS Weighted Average (%),18.07571002,13.62367003,17.81723965,17.69333249,16.73933122
Georgia, World,Import,  All Products,AHS Weighted Average (%),0.234737594,0.206003979,0.210597513,0.344892818,0.416210891
Germany, World,Import,  All Products,AHS Weighted Average (%),1.797492472,1.934745612,1.684839823,1.429392184,1.440093647
Ghana, World,Import,  All Products,AHS Weighted Average (%),10.34018581,10.02116591,,10.51142178,12.65311232
Greece, World,Import,  All Products,AHS Weighted Average (%),1.174076424,1.601057395,1.562950102,1.273155399,1.02697402
Grenada, World,Import,  All Products,AHS Weighted Average (%),,10.78883748,,,10.0541112
Guatemala, World,Import,  All Products,AHS Weighted Average (%),,,1.585342361,1.724671434,2.395286925
Guinea-Bissau, World,Import,  All Products,AHS Weighted Average (%),14.39080111,,,,
Guyana, World,Import,  All Products,AHS Weighted Average (%),3.737269832,9.548431813,6.50957274,4.727981064,9.269015481
Honduras, World,Import,  All Products,AHS Weighted Average (%),3.409399272,5.586319157,3.314696414,2.851443972,
"Hong Kong, China", World,Import,  All Products,AHS Weighted Average (%),0,0,0,0,0
Hungary, World,Import,  All Products,AHS Weighted Average (%),1.244539493,1.186165809,1.007485585,0.961358656,0.91682206
Iceland, World,Import,  All Products,AHS Weighted Average (%),1.482043687,1.528916633,1.62802801,1.505640959,1.722613804
India, World,Import,  All Products,AHS Weighted Average (%),4.883653477,6.594798086,6.193398942,5.87307628,4.472679363
Indonesia, World,Import,  All Products,AHS Weighted Average (%),1.997510317,2.003791696,2.040530652,1.834621502,1.884538148
"Iran, Islamic Rep.", World,Import,  All Products,AHS Weighted Average (%),,15.43354617,12.09436166,,
Ireland, World,Import,  All Products,AHS Weighted Average (%),1.839629558,1.835801978,1.704660521,1.361038079,1.344759508
Israel, World,Import,  All Products,AHS Weighted Average (%),1.44127947,1.536423957,3.136890719,2.87663742,2.615279885
Italy, World,Import,  All Products,AHS Weighted Average (%),1.56326825,1.706036955,1.738553737,1.402798941,1.097298401
Jamaica, World,Import,  All Products,AHS Weighted Average (%),,,8.40868422,8.610270958,9.250659407
Japan, World,Import,  All Products,AHS Weighted Average (%),2.447451863,3.529059245,2.217498329,1.843794502,1.714643785
Jordan, World,Import,  All Products,AHS Weighted Average (%),9.72345288,9.274710084,3.984892569,,1.555568265
Kazakhstan, World,Import,  All Products,AHS Weighted Average (%),2.372496504,2.321441449,1.96108604,2.165577323,2.923522047
Kenya, World,Import,  All Products,AHS Weighted Average (%),10.06812103,11.47887507,9.317678066,9.304997992,11.82368457
Kiribati, World,Import,  All Products,AHS Weighted Average (%),,,0,0,
"Korea, Rep.", World,Import,  All Products,AHS Weighted Average (%),4.82934759,5.119280105,5.477333708,4.848513289,5.844979521
Kuwait, World,Import,  All Products,AHS Weighted Average (%),4.774509594,4.506069217,3.007268034,2.852062421,3.928967314
Kyrgyz Republic, World,Import,  All Products,AHS Weighted Average (%),2.91984294,3.089924866,2.334603576,3.007683983,
Lao PDR, World,Import,  All Products,AHS Weighted Average (%),0.728268607,0.763807109,0.965066588,1.122456693,1.410727643
Latin America & Caribbean, World,Import,  All Products,AHS Weighted Average (%),3.404526755,4.834040855,4.588862814,4.898437335,3.640002657
Latvia, World,Import,  All Products,AHS Weighted Average (%),1.460124443,1.488038855,1.715556238,1.317106488,1.36853309
Lebanon, World,Import,  All Products,AHS Weighted Average (%),1.047941726,3.332489112,2.828693358,,
Lesotho, World,Import,  All Products,AHS Weighted Average (%),3.362338068,3.353597468,3.310013784,3.35203566,4.527349295
Liberia, World,Import,  All Products,AHS Weighted Average (%),9.53805883,12.55335707,6.603783129,6.635417766,6.207345827
Lithuania, World,Import,  All Products,AHS Weighted Average (%),1.403576752,1.54282896,1.995124445,1.653693099,1.08150962
Luxembourg, World,Import,  All Products,AHS Weighted Average (%),2.301390059,2.456783662,2.124424156,1.901695479,1.880919915
Macao, World,Import,  All Products,AHS Weighted Average (%),0,0,0,0,0
Madagascar, World,Import,  All Products,AHS Weighted Average (%),7.739201189,7.541016101,7.203603507,7.507833432,8.884816507
Malawi, World,Import,  All Products,AHS Weighted Average (%),,4.242074111,6.183030845,5.949425479,
Malaysia, World,Import,  All Products,AHS Weighted Average (%),4.084116192,3.90807515,3.601839872,3.623840314,3.470055025
Maldives, World,Import,  All Products,AHS Weighted Average (%),11.38670852,18.38837631,11.55404749,10.55384287,11.21037429
Mali, World,Import,  All Products,AHS Weighted Average (%),9.424346647,7.229241073,,,
Malta, World,Import,  All Products,AHS Weighted Average (%),2.007625345,2.552917376,2.012881477,1.498536564,1.556228633
Mauritania, World,Import,  All Products,AHS Weighted Average (%),8.030305796,8.030305796,12.18979702,8.316613493,8.681350795
Mauritius, World,Import,  All Products,AHS Weighted Average (%),0.806156002,1.100071597,0.923991575,1.27073315,1.224794879
Mexico, World,Import,  All Products,AHS Weighted Average (%),1.205927893,4.190140596,4.011208073,,1.62029973
"Middle East, North Africa, Afghanistan & Pakistan", World,Import,  All Products,AHS Weighted Average (%),4.574541829,5.525695567,4.538906849,4.03605669,4.260331896
Moldova, World,Import,  All Products,AHS Weighted Average (%),4.12212378,4.257041759,1.263941627,1.204853373,1.15570744
Mongolia, World,Import,  All Products,AHS Weighted Average (%),5.260178125,5.306579023,5.301393854,5.276291181,5.356257481
Montenegro, World,Import,  All Products,AHS Weighted Average (%),2.844877349,0.98585594,2.58698696,3.186290713,2.961777132
Montserrat, World,Import,  All Products,AHS Weighted Average (%),9.074323032,9.529028598,9.529028598,10.64796008,9.934176575
Morocco, World,Import,  All Products,AHS Weighted Average (%),3.461596699,3.598910742,3.611063137,4.225135494,7.2912551
Mozambique, World,Import,  All Products,AHS Weighted Average (%),4.176831484,7.433712596,4.136701764,4.194501088,3.699240072
Myanmar, World,Import,  All Products,AHS Weighted Average (%),1.76743919,1.808683597,1.251881782,1.039716023,0.819318915
Namibia, World,Import,  All Products,AHS Weighted Average (%),0.998976611,1.097907699,1.255181899,1.324396098,3.510404309
Nepal, World,Import,  All Products,AHS Weighted Average (%),12.35920025,14.22387197,11.59766553,11.98860042,11.58689591
Netherlands, World,Import,  All Products,AHS Weighted Average (%),1.927911117,1.99649979,1.781337577,1.665676645,1.406862795
New Zealand, World,Import,  All Products,AHS Weighted Average (%),2.596273213,0.912794294,0.854321575,0.856934927,1.730875038
Nicaragua, World,Import,  All Products,AHS Weighted Average (%),1.945076165,1.860426941,1.842304855,1.956630115,2.050503479
Niger, World,Import,  All Products,AHS Weighted Average (%),11.02236941,9.271341345,8.056875899,8.458098967,8.693823912
Nigeria, World,Import,  All Products,AHS Weighted Average (%),9.324849588,7.95427069,12.36615952,12.19995772,9.369382486
North America, World,Import,  All Products,AHS Weighted Average (%),1.58082319,1.597390314,1.518589663,1.613992626,1.549198645
North Macedonia, World,Import,  All Products,AHS Weighted Average (%),1.940058447,1.937550691,1.743928668,2.377996849,2.347329093
Norway, World,Import,  All Products,AHS Weighted Average (%),3.200077142,2.616630909,2.802387244,3.004856106,2.428635985
Oman, World,Import,  All Products,AHS Weighted Average (%),1.734822159,1.712190799,1.707840568,2.004799204,2.205035902
Pakistan, World,Import,  All Products,AHS Weighted Average (%),9.453802305,8.687780805,8.673389299,9.026464492,7.765359993
Palau, World,Import,  All Products,AHS Weighted Average (%),34.6298771,,,,
Panama, World,Import,  All Products,AHS Weighted Average (%),5.470282857,5.760197454,5.771805867,6.426053637,6.093828616
Papua New Guinea, World,Import,  All Products,AHS Weighted Average (%),,7.75017617,3.631786454,3.583518659,
Paraguay, World,Import,  All Products,AHS Weighted Average (%),4.975728281,4.975414698,4.047755927,4.486497559,4.628202356
Peru, World,Import,  All Products,AHS Weighted Average (%),0.708689913,0.726464702,0.660322883,0.653519853,0.656464635
Philippines, World,Import,  All Products,AHS Weighted Average (%),2.112030161,1.675368078,1.67336165,1.728685895,1.756175179
Poland, World,Import,  All Products,AHS Weighted Average (%),1.91351021,2.063420319,1.931334715,1.861866115,1.787171434
Portugal, World,Import,  All Products,AHS Weighted Average (%),1.766041226,1.808504683,1.965815483,1.858488955,1.404935638
Qatar, World,Import,  All Products,AHS Weighted Average (%),3.676998419,3.467669985,3.545172633,3.533476357,3.706179057
Romania, World,Import,  All Products,AHS Weighted Average (%),1.285795103,1.479404573,1.378867955,1.345585587,1.218735353
Russian Federation, World,Import,  All Products,AHS Weighted Average (%),3.512320695,5.339517059,4.069686789,4.168390066,
Rwanda, World,Import,  All Products,AHS Weighted Average (%),4.075981109,9.554891864,10.18658699,11.96845724,11.29111296
Samoa, World,Import,  All Products,AHS Weighted Average (%),10.85394563,9.921081154,,,
Sao Tome and Principe, World,Import,  All Products,AHS Weighted Average (%),9.459515201,9.96927406,,,
Saudi Arabia, World,Import,  All Products,AHS Weighted Average (%),4.736280456,4.942217157,4.227510408,,5.533883454
Senegal, World,Import,  All Products,AHS Weighted Average (%),11.52422756,9.121286769,9.069655087,8.879709881,8.405116501
"Serbia, FR(Serbia/Montenegro)", World,Import,  All Products,AHS Weighted Average (%),1.438378673,,,1.716559737,
Seychelles, World,Import,  All Products,AHS Weighted Average (%),2.094827652,20.28191736,1.469177594,1.07228503,1.271151435
Sierra Leone, World,Import,  All Products,AHS Weighted Average (%),13.79240248,,,,
Singapore, World,Import,  All Products,AHS Weighted Average (%),0.23694397,0.38777686,0.049953016,0.000235864,8.73061E-05
Slovak Republic, World,Import,  All Products,AHS Weighted Average (%),1.569293125,1.775065761,1.62185398,1.596228721,1.593046203
Slovenia, World,Import,  All Products,AHS Weighted Average (%),1.934664114,1.748092603,1.368722652,2.046818283,1.462212663
Solomon Islands, World,Import,  All Products,AHS Weighted Average (%),30.27665073,,,,
South Africa, World,Import,  All Products,AHS Weighted Average (%),4.319814179,5.365852777,4.401679622,4.460883161,4.754114172
South Asia, World,Import,  All Products,AHS Weighted Average (%),5.67437334,7.102681126,6.813365817,6.293846948,5.149437186
Spain, World,Import,  All Products,AHS Weighted Average (%),1.795216848,2.061882388,1.987046784,1.66909036,1.391745156
Sri Lanka, World,Import,  All Products,AHS Weighted Average (%),,13.29798788,6.276573795,4.356130684,
St. Lucia, World,Import,  All Products,AHS Weighted Average (%),,16.69820354,9.079059797,,
St. Vincent and the Grenadines, World,Import,  All Products,AHS Weighted Average (%),8.922469383,8.840950224,8.969546465,9.05740958,9.165664455
Sub-Saharan Africa, World,Import,  All Products,AHS Weighted Average (%),7.274577841,7.178191754,7.592919101,7.882991341,9.155787432
